country,sex,age,marriage_duration,n_children,n_broughtup_children,education,material_status,religion,religiousity,pension,mrq,kansas,age_at_marriage
Brazil,female,31,7,1,1,5,2,4.0,4,7,1.1111111111111112,5.0,24
Brazil,female,30,3,0,0,5,2,4.0,4,3,1.0,6.0,27
Brazil,female,32,6,1,1,5,3,4.0,5,5,1.0,7.0,26
Brazil,male,34,7,1,1,4,2,4.0,2,3,1.5555555555555556,6.333333333333333,27
Brazil,female,38,2,0,0,5,2,4.0,4,5,1.1111111111111112,7.0,36
Brazil,male,31,2,1,1,5,2,4.0,4,1,1.0,7.0,29
Brazil,female,44,1,0,0,5,2,4.0,4,6,1.0,7.0,43
Brazil,female,30,5,1,0,5,2,4.0,2,2,1.0,6.0,25
Brazil,female,33,5,2,2,5,2,4.0,2,3,1.1111111111111112,7.0,28
Brazil,male,33,3,1,0,5,3,4.0,4,6,1.2222222222222223,5.0,30
Brazil,female,25,8,1,1,5,2,6.0,4,2,1.3333333333333333,7.0,17
